DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
0,COLOMBIA,2000,17320,1.732E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2001,18793,1.8793E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2002,20877,2.0877E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2003,22683,2.2683E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2004,24347,2.4347E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2005,26279,2.6279E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2006,28269,2.8269E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2007,30686,3.0686E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2008,32964,3.2964E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2009,34632,3.4632E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2010,35431,3.5431E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2011,38722,3.8722E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2012,38451,3.8451E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2013,39750,3.975E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2014,42878,4.2878E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2015,48295,4.8295E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
0,COLOMBIA,2016p,57070,5.707E+13,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2000,33,33000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2001,25,25000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2002,28,28000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2003,31,31000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2004,40,40000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2005,42,42000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2006,37,37000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2007,33,33000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2008,36,36000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2009,47,47000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2010,53,53000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2011,50,50000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2012,51,51000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2013,52,52000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2014,61,61000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2015,71,71000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
91,AMAZONAS,2016p,83,83000000000,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
5,ANTIOQUIA,2000,2277,2.277E+12,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
5,ANTIOQUIA,2001,2304,2.304E+12,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
5,ANTIOQUIA,2002,2776,2.776E+12,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
5,ANTIOQUIA,2003,2871,2.871E+12,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
5,ANTIOQUIA,2004,3026,3.026E+12,AGRICULTURA GANADERIA SILVICULTURA Y PESCA,S03
