DEPT_CODE,DEPT_NAME,YYYY,POPULATION
05,ANTIOQUIA,1985,3994984
05,ANTIOQUIA,1986,4073176
05,ANTIOQUIA,1987,4152532
05,ANTIOQUIA,1988,4231540
05,ANTIOQUIA,1989,4309045
05,ANTIOQUIA,1990,4384563
05,ANTIOQUIA,1991,4458798
05,ANTIOQUIA,1992,4532670
08,ATLANTICO,1985,1331791
08,ATLANTICO,1986,1376226
08,ATLANTICO,1987,1420522
08,ATLANTICO,1988,1464594
08,ATLANTICO,1989,1508274
08,ATLANTICO,1990,1551476
08,ATLANTICO,1991,1594430
08,ATLANTICO,1992,1637392
11,SANTAFE DE BOGOTA D.C,1985,3804636
11,SANTAFE DE BOGOTA D.C,1986,3972841
11,SANTAFE DE BOGOTA D.C,1987,4139946
11,SANTAFE DE BOGOTA D.C,1988,4306433
11,SANTAFE DE BOGOTA D.C,1989,4471841
11,SANTAFE DE BOGOTA D.C,1990,4635514
11,SANTAFE DE BOGOTA D.C,1991,4798274
11,SANTAFE DE BOGOTA D.C,1992,4962022
13,BOLIVAR,1985,1220967
13,BOLIVAR,1986,1251379
13,BOLIVAR,1987,1282045
13,BOLIVAR,1988,1312887
13,BOLIVAR,1989,1343824
13,BOLIVAR,1990,1374876
13,BOLIVAR,1991,1406155
13,BOLIVAR,1992,1437729
15,BOYACA,1985,1048011
15,BOYACA,1986,1052385
15,BOYACA,1987,1056837
15,BOYACA,1988,1061299
15,BOYACA,1989,1065733
15,BOYACA,1990,1070104
15,BOYACA,1991,1074459
15,BOYACA,1992,1078922
17,CALDAS,1985,960260
17,CALDAS,1986,965100
17,CALDAS,1987,969846
17,CALDAS,1988,974462
17,CALDAS,1989,978829
17,CALDAS,1990,982848
17,CALDAS,1991,986620
17,CALDAS,1992,990330
18,CAQUETA,1985,263160
18,CAQUETA,1986,271487
18,CAQUETA,1987,279646
18,CAQUETA,1988,287596
18,CAQUETA,1989,295293
18,CAQUETA,1990,302717
18,CAQUETA,1991,309919
18,CAQUETA,1992,316907
19,CAUCA,1985,974405
19,CAUCA,1986,986786
19,CAUCA,1987,999625
19,CAUCA,1988,1012834
19,CAUCA,1989,1026314
19,CAUCA,1990,1039976
19,CAUCA,1991,1053963
19,CAUCA,1992,1068557
20,CESAR,1985,592442
20,CESAR,1986,613161
20,CESAR,1987,633745
20,CESAR,1988,654127
20,CESAR,1989,674298
20,CESAR,1990,694262
20,CESAR,1991,714051
20,CESAR,1992,733623
23,CORDOBA,1985,1132612
23,CORDOBA,1986,1151590
23,CORDOBA,1987,1170904
23,CORDOBA,1988,1190468
23,CORDOBA,1989,1210256
23,CORDOBA,1990,1230290
23,CORDOBA,1991,1250586
23,CORDOBA,1992,1271153
25,CUNDINAMARCA,1985,2114276
25,CUNDINAMARCA,1986,2065235
25,CUNDINAMARCA,1987,2020094
25,CUNDINAMARCA,1988,1978695
25,CUNDINAMARCA,1989,1940832
25,CUNDINAMARCA,1990,1906370
25,CUNDINAMARCA,1991,1875416
25,CUNDINAMARCA,1992,1848208
27,CHOCO,1985,229105
27,CHOCO,1986,235121
27,CHOCO,1987,241629
27,CHOCO,1988,248458
27,CHOCO,1989,255566
27,CHOCO,1990,262968
27,CHOCO,1991,270600
27,CHOCO,1992,278469
41,HUILA,1985,680674
41,HUILA,1986,693291
41,HUILA,1987,706169
41,HUILA,1988,719228
41,HUILA,1989,732407
41,HUILA,1990,745687
41,HUILA,1991,759135
41,HUILA,1992,772830
44,LA GUAJIRA,1985,395373
44,LA GUAJIRA,1986,405272
44,LA GUAJIRA,1987,415434
44,LA GUAJIRA,1988,425730
44,LA GUAJIRA,1989,436120
44,LA GUAJIRA,1990,446644
44,LA GUAJIRA,1991,457363
44,LA GUAJIRA,1992,468477
47,MAGDALENA,1985,802094
47,MAGDALENA,1986,814494
47,MAGDALENA,1987,827158
47,MAGDALENA,1988,840021
47,MAGDALENA,1989,853030
47,MAGDALENA,1990,866200
47,MAGDALENA,1991,879594
47,MAGDALENA,1992,893267
50,META,1985,405223
50,META,1986,421008
50,META,1987,437328
50,META,1988,454151
50,META,1989,471443
50,META,1990,489217
50,META,1991,507588
50,META,1992,526666
52,NARINO,1985,1189007
52,NARINO,1986,1203597
52,NARINO,1987,1218733
52,NARINO,1988,1234134
52,NARINO,1989,1249529
52,NARINO,1990,1264744
52,NARINO,1991,1280080
52,NARINO,1992,1296127
54,NORTE DE SANTANDER,1985,921438
54,NORTE DE SANTANDER,1986,941230
54,NORTE DE SANTANDER,1987,961290
54,NORTE DE SANTANDER,1988,981510
54,NORTE DE SANTANDER,1989,1001761
54,NORTE DE SANTANDER,1990,1021965
54,NORTE DE SANTANDER,1991,1042294
54,NORTE DE SANTANDER,1992,1063046
63,QUINDIO,1985,450100
63,QUINDIO,1986,452993
63,QUINDIO,1987,456005
63,QUINDIO,1988,459185
63,QUINDIO,1989,462436
63,QUINDIO,1990,465669
63,QUINDIO,1991,469079
63,QUINDIO,1992,472954
66,RISARALDA,1985,681414
66,RISARALDA,1986,693027
66,RISARALDA,1987,704616
66,RISARALDA,1988,716316
66,RISARALDA,1989,727898
66,RISARALDA,1990,739151
66,RISARALDA,1991,750429
66,RISARALDA,1992,762288
68,SANTANDER,1985,1389414
68,SANTANDER,1986,1412093
68,SANTANDER,1987,1435334
68,SANTANDER,1988,1459014
68,SANTANDER,1989,1482998
68,SANTANDER,1990,1507191
68,SANTANDER,1991,1531742
68,SANTANDER,1992,1556972
70,SUCRE,1985,590461
70,SUCRE,1986,600249
70,SUCRE,1987,610197
70,SUCRE,1988,620245
70,SUCRE,1989,630357
70,SUCRE,1990,640539
70,SUCRE,1991,650810
70,SUCRE,1992,661132
73,TOLIMA,1985,1186822
73,TOLIMA,1986,1194377
73,TOLIMA,1987,1201914
73,TOLIMA,1988,1209434
73,TOLIMA,1989,1216846
73,TOLIMA,1990,1224084
73,TOLIMA,1991,1231183
73,TOLIMA,1992,1238174
76,VALLE DEL CAUCA,1985,3388992
76,VALLE DEL CAUCA,1986,3437361
76,VALLE DEL CAUCA,1987,3486262
76,VALLE DEL CAUCA,1988,3534820
76,VALLE DEL CAUCA,1989,3581610
76,VALLE DEL CAUCA,1990,3625838
76,VALLE DEL CAUCA,1991,3669350
76,VALLE DEL CAUCA,1992,3714906
81,ARAUCA,1985,168339
81,ARAUCA,1986,171909
81,ARAUCA,1987,175435
81,ARAUCA,1988,178904
81,ARAUCA,1989,182316
81,ARAUCA,1990,185672
81,ARAUCA,1991,188976
81,ARAUCA,1992,192270
85,CASANARE,1985,190862
85,CASANARE,1986,196483
85,CASANARE,1987,202247
85,CASANARE,1988,208094
85,CASANARE,1989,214026
85,CASANARE,1990,220060
85,CASANARE,1991,226239
85,CASANARE,1992,232624
86,PUTUMAYO,1985,135647
86,PUTUMAYO,1986,141676
86,PUTUMAYO,1987,147753
86,PUTUMAYO,1988,153834
86,PUTUMAYO,1989,159891
86,PUTUMAYO,1990,165909
86,PUTUMAYO,1991,171971
86,PUTUMAYO,1992,178222
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1985,41305
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1986,43261
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1987,45190
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1988,47053
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1989,48854
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1990,50580
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1991,52225
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1992,53776
91,AMAZONAS,1985,32549
91,AMAZONAS,1986,34156
91,AMAZONAS,1987,35722
91,AMAZONAS,1988,37275
91,AMAZONAS,1989,38807
91,AMAZONAS,1990,40307
91,AMAZONAS,1991,41797
91,AMAZONAS,1992,43276
94,GUAINIA,1985,15497
94,GUAINIA,1986,16003
94,GUAINIA,1987,16531
94,GUAINIA,1988,17058
94,GUAINIA,1989,17563
94,GUAINIA,1990,18056
94,GUAINIA,1991,18560
94,GUAINIA,1992,19093
95,GUAVIARE,1985,34844
95,GUAVIARE,1986,38846
95,GUAVIARE,1987,42614
